artistId,artistName,albumId,albumTitle,albumYear,albumGenre,songID,songTitle,songTrackNumber
18,Aerosmith,8,A Little South of Sanity Disc 1,1998,2,89,Cryin',8
18,Aerosmith,8,A Little South of Sanity Disc 1,1998,2,97,Rag Doll,9
18,Aerosmith,8,A Little South of Sanity Disc 1,1998,2,88,Angel,10
18,Aerosmith,8,A Little South of Sanity Disc 1,1998,2,93,Janie's Got a Gun,11
18,Aerosmith,8,A Little South of Sanity Disc 1,1998,2,87,Amazing,12
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,99,Back in the Saddle,1
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,103,Last Child,2
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,106,The Other Side,3
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,107,Walk On Down,4
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,101,Dream On,5
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,100,Crazy,6
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,104,Mama Kin,7
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,108,Walk This Way,8
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,102,Dude (Looks Like a Lady),9
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,109,What It Takes,10
18,Aerosmith,9,A Little South of Sanity Disc 2,1998,2,105,Sweet Emotion,11
18,Aerosmith,10,Get a Grip,1993,2,119,Intro,1
18,Aerosmith,10,Get a Grip,1993,2,114,Eat the Rich,2
18,Aerosmith,10,Get a Grip,1993,2,117,Get a Grip,3
18,Aerosmith,10,Get a Grip,1993,2,115,Fever,4
18,Aerosmith,10,Get a Grip,1993,2,121,Livin’ on the Edge,5
18,Aerosmith,10,Get a Grip,1993,2,116,Flesh,6
18,Aerosmith,10,Get a Grip,1993,2,123,Walk on Down,7
18,Aerosmith,10,Get a Grip,1993,2,122,Shut Up and Dance,8
18,Aerosmith,10,Get a Grip,1993,2,113,Cryin’,9
18,Aerosmith,10,Get a Grip,1993,2,118,Gotta Love It,10
18,Aerosmith,10,Get a Grip,1993,2,112,Crazy,11
18,Aerosmith,10,Get a Grip,1993,2,120,Line Up,12
18,Aerosmith,10,Get a Grip,1993,2,110,Amazing,13
18,Aerosmith,10,Get a Grip,1993,2,111,Boogie Man,14
18,Aerosmith,11,Honkin' On Bobo,2004,2,130,Road Runner,1
18,Aerosmith,11,Honkin' On Bobo,2004,2,131,Shame, Shame, Shame,2
18,Aerosmith,11,Honkin' On Bobo,2004,2,126,Eyesight to the Blind,3
18,Aerosmith,11,Honkin' On Bobo,2004,2,124,Baby, Please Don't Go,4
18,Aerosmith,11,Honkin' On Bobo,2004,2,129,Never Loved a Girl,5
18,Aerosmith,11,Honkin' On Bobo,2004,2,125,Back Back Train,6
18,Aerosmith,11,Honkin' On Bobo,2004,2,135,You Gotta Move,7
18,Aerosmith,11,Honkin' On Bobo,2004,2,134,The Grind,8
18,Aerosmith,11,Honkin' On Bobo,2004,2,127,I'm Ready,9
18,Aerosmith,11,Honkin' On Bobo,2004,2,133,Temperature,10
18,Aerosmith,11,Honkin' On Bobo,2004,2,132,Stop Messin' Around,11
18,Aerosmith,11,Honkin' On Bobo,2004,2,128,Jesus Is On The Main Line,12
18,Aerosmith,12,Just Push Play,2001,2,137,Beyond Beautiful,1
18,Aerosmith,12,Just Push Play,2001,2,141,Just Push Play,2
18,Aerosmith,12,Just Push Play,2001,2,140,Jaded,3
18,Aerosmith,12,Just Push Play,2001,2,139,Fly Away From Here,4
18,Aerosmith,12,Just Push Play,2001,2,146,Trip Hoppin',5
18,Aerosmith,12,Just Push Play,2001,2,145,Sunshine,6
18,Aerosmith,12,Just Push Play,2001,2,147,Under My Skin,7
18,Aerosmith,12,Just Push Play,2001,2,143,Luv Lies,8
18,Aerosmith,12,Just Push Play,2001,2,144,Outta Your Head,9
18,Aerosmith,12,Just Push Play,2001,2,138,Drop Dead Gorgeous,10
18,Aerosmith,12,Just Push Play,2001,2,142,Light Inside,11
