David Bowie,Aladdin Sane,121
David Bowie,Ziggy Stardust,121
Deep Purple,Machine Head,123
Deep Purple,The Book of Taliesyn,123
Def Leppard,Pyromania,124
Delaney & Bonnie & Friends,On Tour With Eric Clapton,125
Delaney & Bonnie,The Best of Delaney & Bonnie,126
Derek and the Dominos,Layla and Other Assorted Love Songs,128
Desmond Dekker,The Harder They Come,129
Destiny's Child,Survivor,130
Devo,Freedom of Choice,131
Dobie Gray,Best Of,135
Donovan,Donovan's Greatest Hits,137
Drive-By Truckers,Go-Go Boots,139
Drive-By Truckers,The Big To-Do,139
Drive-By Truckers,The Dirty South,139
Dusty Springfield,Ultimate Collection: Dusty Springfield,140
Dwight Yoakam,Gone,144
Eddie Hazel,"Game, Dames And Guitar Thangs",147
Eddie Izzard,Circle,148
Eddie Izzard,Dress to Kill,148
Eddy Grant,Pure Reggae,149
Ekseption,Beggar Julia's Time Trip,152
Electric Light Orchestra,Out of the Blue,153
Electric Light Orchestra,The Essential Electric Light Orchestra,153
Elton John,Goodbye Yellow Brick Road,155
Elton John,Madman Across the Water,155
Elton John,Tumbleweed Connection,155
Emilia Sosa,Rhythm of Life,158
En Vogue,Funky Divas,161
Eric Burdon and the Animals,Love Is,162
Eric Burdon and the Animals,The Twain Shall Meet,162
Eric Burdon and the Animals,Winds of Change,162
Etta James,Live From San Fransciso,164
Eve 6,Eve 6,165
Everclear,Slow Motion Daydream,166
Everclear,So Much for the Afterglow,166
Everclear,Sparkle and Fade,166
Faces,Long Player,167
Fastball,All the Pain Money Can Buy,168
Fever Tree,San Francisco Girls,169
Fleetwood Mac,Then Play On,170
Flogging Molly,Drunken Lullabies,171
Flogging Molly,Live At The Greek Theatre,171
Foghat,Classic Foghat,172
Foghat,Fool for the City,172
Four Tops,The Ultimate Collection,174
Frank Zappa,Apostrophe'/Overnite Sensation,175
Frank Zappa,Burnt Weeny Sandwich,175
Frank Zappa,Shut Up 'N Play Yer Guitar Disc 1,175
Frank Zappa,Shut Up 'N Play Yer Guitar Disc 2,175
Frank Zappa,Strictly Commercial: The Best of Frank Zappa,175
Frank Zappa,Waka-Jawaka,175
The Mothers of Invention,Freak Out!,176
The Mothers of Invention,Live At The Fillmore East - June 1971,176
The Mothers of Invention,Lumpy Gravy,176
The Mothers of Invention,We’re Only in It for the Money,176
Funkadelic,Maggot Brain,177
Garbage,Bleed Like Me,178
Garbage,Version 2.0,178
George Carlin,Back in Town,179
George Carlin,Class Clown,179
George Carlin,Complaints and Grievances,179
George Carlin,Occupation: Foole,179
George Carlin,Parental Advisory: Explicit Lyrics,179
George Carlin,Take-Offs & Put-Ons,179
Georgia Satelites,Georgia Satelites,180
